€625,000 	 Curraghmore, Belcarra, Castlebar, Co Mayo
€137,500 	 Meelick, Killala, Mayo
€160,000 	 27 Parklands, Westport, Mayo
€135,000 	 10 Lois Na Sioga, Binghamstown, Belmullet, Mayo
€269,000 	 Sheeaune, Castlebar Road, Westport, Co Mayo, F28 XV48
€349,000  -€30,000 on 8th Feb 19 	 Kilbree Lower, Westport, Co Mayo, F28 WF66
€550,000 	 The Market Cafe & Residence, Market Square, Charlestown, Co Mayo, F12 ED83
€195,000 	 James Street, Westport, Co Mayo
€215,000 	 Annefield, Hollymount, Mayo
€279,500 	 16 Clydagh Park, Turlough Road, Castlebar, Mayo
POA 	 11 Kennedy Gardens, Castlebar, Mayo
€410,000 	 Rosduane, Kilmeena, Westport, Mayo
€85,000 	 St Itas Terrace, Swinford, Mayo
€245,000 	 Rockfield, (Barnacarroll), Claremorris, Mayo
€140,000 	 Apartment 219, The Harbour Mill, Westport, Co. Mayo
€120,000 	 Bunnacurry, Achill, Mayo
€159,000 	 16 Aglish Estate, Castlebar, Mayo
€85,000 	 11 Hazel Hill Downs,, Ballyhaunis, Mayo
€164,000 	 6 Waterstone, Ballina, Mayo
€130,000 	 74 Moy Heights, Ballina, Mayo
€275,000 	 Toor Grange House, Carratowick, Westport, Mayo
